# submitted_item	validated_id	current_symbol
CG2970	FBgn0034936	Stoml2
CG2972	FBgn0030177	CG2972
CG2974	FBgn0030178	Naxe
CG2975	FBgn0031468	CG2975
CG2976	FBgn0031633	Fnta
CG2977	FBgn0027106	Inx7
CG2979	FBgn0005391	Yp2
CG2980	FBgn0034939	thoc5
CG2981	FBgn0013348	TpnC41C
CG2982	FBgn0266570	NO66
CG2983	FBgn0031472	CG2983
CG2984	FBgn0022768	Pp2C1
CG2985	FBgn0004045	Yp1
CG2987	FBgn0029105	alpha-Catr
CG2988	FBgn0000576	ems
CG2989	FBgn0263132	Cht6
CG2990	FBgn0030170	CG2990
CG2993	FBgn0037521	CG2993
CG2994	FBgn0028327	l(1)G0320
CG2994	FBgn0267253	CG32700
CG2995	FBgn0040372	G9a
CG2996	FBgn0052699	LPCAT
CG2996	FBgn0052702	Cubn
CG2999	FBgn0025726	unc-13
CG3002	FBgn0030141	Gga
CG3003	FBgn0261931	CG42797
CG3004	FBgn0264691	Lst8
CG3006	FBgn0034943	Fmo-1
CG3008	FBgn0031643	CG3008
CG3009	FBgn0029720	CG3009
CG3011	FBgn0029823	Shmt
CG3013	FBti0018942	Tc1{}617
CG3014	FBgn0037519	CG3014
CG3016	FBgn0029819	Usp30
CG3017	FBgn0020764	Alas
CG3018	FBgn0010602	lwr
CG3019	FBgn0003638	su(w[a])
CG3020	FBgn0261090	Sytbeta
CG3021	FBgn0040337	CG3021
CG3022	FBgn0031275	GABA-B-R3
CG3024	FBgn0025615	Torsin
CG3025	FBgn0014340	mof
CG3026	FBgn0040347	mus81
CG3027	FBgn0037513	pyd3
CG3028	FBgn0016672	Ipp
CG3032	FBgn0029928	CG3032
CG3033	FBgn0029818	GAA1
CG3034	FBgn0040339	MED22
CG3035	FBgn0000330	cm
CG3036	FBgn0031645	CG3036
CG3037	unknown ID	-
CG3038	FBgn0040373	CG3038
CG3039	FBgn0004646	ogre
CG3039	FBgn0027524	CG3909
CG3040	FBgn0029925	CG3040
CG3041	FBgn0015270	Orc2
CG3042	FBgn0052732	Setd3
CG3044	FBgn0029913	Cht11
CG3045	FBgn0034703	CG3045
CG3048	FBgn0026319	Traf4
CG3050	FBgn0038194	Cyp6d5
CG3051	FBgn0023169	AMPKalpha
CG3054	FBgn0022153	l(2)k05819
CG3056	FBgn0024987	ssx
CG3057	FBgn0019830	colt
CG3058	FBgn0031601	Dim1
CG3059	FBgn0024947	NTPase
CG3060	FBgn0002791	mr
CG3061	FBgn0038195	CG3061
CG3065	FBgn0034946	CG3065
CG3066	FBgn0037515	Sp7
CG3068	FBgn0000147	aurA
CG3069	FBgn0026324	Taf10b
CG3073	FBgn0027296	temp
CG3074	FBgn0034709	Swim
CG3075	FBgn0029905	Nf-YC
CG3085	FBgn0034816	CG3085
CG3086	FBgn0013987	MAPk-Ak2
CG3088	FBgn0036015	CG3088
CG3090	FBgn0005612	Sox14
CG3093	FBgn0000482	dor
CG3097	FBgn0029804	CG3097
CG3098	FBgn0051694	Ifrd1
CG3099	FBgn0261931	CG42797
CG3101	FBgn0028341	Ptpmeg2
CG3102	FBgn0028341	Ptpmeg2
CG3104	FBgn0031473	CG3104
CG3105	FBgn0034950	Pask
CG3106	FBgn0030148	CG3106
CG3107	FBgn0033005	CG3107
CG3108	FBgn0029807	CG3108
CG3109	FBgn0023519	mRpL16
CG3114	FBgn0005427	ewg
CG3117	FBgn0031471	CG3117
CG3119	FBgn0031466	CG3119
CG3121	FBgn0034957	Rsph4a
CG3123	FBgn0031465	CG3123
CG3125	FBgn0261383	IntS6
CG3126	FBgn0259228	C3G
CG3127	FBgn0250906	Pgk
CG3129	FBgn0015794	Rab18
CG3130	FBgn0052758	Snx27
CG3131	FBgn0283531	Duox
CG3132	FBgn0260746	Ect3
CG3135	FBgn0003390	shf
CG3136	FBgn0033010	Atf6
CG3138	FBgn0052758	Snx27
CG3140	FBgn0283494	Ak2
CG3143	FBgn0038197	foxo
CG3149	FBgn0027564	CG3149
CG3151	FBgn0010263	Rbp9
CG3152	FBgn0026761	Trap1
CG3156	FBgn0023536	CG3156
CG3157	FBgn0260639	gammaTub23C
CG3158	FBgn0003483	spn-E
CG3159	FBgn0026438	Eaat2
CG3160	FBgn0029789	PGAP1
CG3161	FBgn0262736	Vha16-1
CG3162	FBgn0034834	LS2
CG3165	FBgn0031484	CG3165
CG3166	FBgn0000097	aop
CG3167	FBgn0034962	MAN1
CG3168	FBgn0029896	CG3168
CG3169	FBgn0037981	Spt3
CG3172	FBgn0038206	twf
CG3173	FBgn0034964	IntS1
CG3174	FBgn0033079	Fmo-2
CG3178	FBgn0004584	Rrp1
CG3179	FBgn0261555	CG42673
CG3180	FBgn0262955	Polr2B
CG3181	FBgn0024920	Ts
CG3182	FBgn0003353	sei
CG3187	FBgn0029783	Sirt4
CG3189	FBgn0266518	Dpit47
CG3192	FBgn0029888	ND-ASHI
CG3193	FBgn0000377	crn
CG3194	FBgn0033087	Hsepi
CG3198	FBgn0029887	CG3198
CG3200	FBgn0016715	Reg-2
CG3201	FBgn0004687	Mlc-c
CG3204	FBgn0283666	Rap2l
CG3208	FBgn0029778	RhoGAP5A
CG3209	FBgn0034971	Gpat4
CG3210	FBgn0026479	Drp1
CG3212	FBgn0031547	Sr-CIV
CG3213	FBgn0031545	CG3213
CG3216	FBgn0034568	CG3216
CG3219	FBgn0034824	Klp59C
CG3220	FBgn0259209	Mlp60A
CG3222	FBgn0036014	CG3222
CG3224	FBgn0029885	CG3224
CG3225	FBgn0031631	CG3225
CG3226	FBgn0029882	CG3226
CG3228	FBgn0001330	kz
CG3229	FBgn0051954	CG31954
CG3229	FBgn0284253	LeuRS
CG3231	FBgn0086129	snama
CG3234	FBgn0014396	tim
CG3238	FBgn0031540	Pif1
CG3239	FBgn0029769	frma
CG3242	FBgn0004892	sob
CG3245	FBgn0025573	PpN58A
CG3248	FBgn0031536	Cog3
CG3249	FBgn0263987	spoon
CG3251	FBgn0031622	CG3251
CG3252	FBgn0029762	NAAT1
CG3254	FBgn0031530	Pgant2
CG3259	FBgn0038221	IFT54
CG3260	FBgn0021875	Zfrp8
CG3262	FBgn0032986	CG3262
CG3263	FBgn0259243	Pka-R1
CG3264	FBgn0034712	Alp8
CG3265	FBgn0027066	Eb1
CG3267	FBgn0042083	Mccc2
CG3268	FBgn0028579	phtf
CG3269	FBgn0014009	Rab2
CG3270	FBgn0033093	CG3270
CG3271	FBgn0033088	PGAP3
CG3274	FBgn0042085	Bap170
CG3277	FBgn0031518	CG3277
CG3278	FBgn0032988	Tif-IA
CG3279	FBgn0260862	Vti1a
CG3281	FBgn0260741	CG3281
CG3282	FBgn0001133	grau
CG3282	FBgn0050291	CG30291
CG3283	FBgn0014028	SdhB
CG3284	FBgn0004855	Polr2I
CG3285	FBgn0031522	CG3285
CG3289	FBgn0016698	Ptpa
CG3290	FBgn0283480	Alp2
CG3291	FBgn0020261	pcm
CG3292	FBgn0034710	Alp7
CG3292	FBgn0038570	Prx5
CG3294	FBgn0031628	CG3294
CG3295	FBgn0034573	Sou
CG3297	FBgn0002778	mnd
CG3299	FBgn0004397	Vinc
CG3301	FBgn0038878	CG3301
CG3304	FBgn0085423	GramD1B
CG3307	FBgn0011474	PR-Set7
CG3308	FBgn0038877	CG3308
CG3309	FBgn0029756	CG3309
CG3312	FBgn0014024	Rnp4F
CG3313	FBgn0037980	DCAF12
CG3314	FBgn0014026	RpL7A
CG3315	FBgn0029752	TrxT
CG3319	FBgn0263237	Cdk7
CG3320	FBgn0285937	Rab1
CG3322	FBgn0267348	LanB2
CG3324	FBgn0000442	Pkg21D
CG3325	FBgn0003480	spn-B
CG3326	FBgn0031519	Fign
CG3328	FBgn0034985	CG3328
CG3329	FBgn0023174	Prosbeta2
CG3331	FBgn0000527	e
CG3332	FBgn0031514	OtopLb
CG3333	FBgn0259937	Nop60B
CG3335	FBgn0036018	CG3335
CG3337	FBgn0038871	CG3337
CG3338	FBgn0031598	Vps53
CG3340	FBgn0001325	Kr
CG3344	FBgn0035154	hiro
CG3350	FBgn0039509	bigmax
CG3352	FBgn0001075	ft
CG3353	FBgn0038869	Smyd5
CG3355	FBgn0031619	CG3355
CG3356	FBgn0034989	CG3356
CG3358	FBgn0033117	CG3358
CG3359	FBgn0260745	mfas
CG3360	FBgn0038236	Cyp313a1
CG3362	FBgn0034988	cN-IIIB
CG3365	FBgn0020304	drongo
CG3367	FBgn0259242	CG42340
CG3373	FBgn0015737	Hmu
CG3376	FBgn0034997	CG3376
CG3379	FBgn0013981	His4r
CG3380	FBgn0034716	Oatp58Dc
CG3382	FBgn0034715	Oatp58Db
CG3385	FBgn0005636	nvy
CG3387	FBgn0050277	Oatp58Da
CG3387	FBgn0050278	CG30278
CG3388	FBgn0001148	gsb
CG3389	FBgn0038247	Cad88C
CG3390	FBgn0051773	CG31773
CG3390	FBgn0051774	fred
CG3394	FBgn0034999	Fatp3
CG3397	FBgn0037975	CG3397
CG3399	FBgn0000256	capu
CG3400	FBgn0027621	Pfrx
CG3401	FBgn0003888	betaTub60D
CG3403	FBgn0259483	Mob4
CG3407	FBgn0031573	CG3407
CG3408	FBgn0036008	CG3408
CG3409	FBgn0033095	chk
CG3411	FBgn0004101	bs
CG3412	FBgn0283468	slmb
CG3415	FBgn0030731	Mfe2
CG3416	FBgn0002787	Rpn8
CG3419	FBgn0266438	PIG-Z
CG3419	FBgn0266439	CG45069
CG3421	FBgn0038853	RhoGAP93B
CG3422	FBgn0004066	Prosalpha4
CG3423	FBgn0020616	SA
CG3424	FBgn0036007	path
CG3425	FBgn0017482	T3dh
CG3427	FBgn0085421	Epac
CG3428	FBgn0036005	pall
CG3430	FBgn0031875	CG3430
CG3431	FBgn0011327	Uch-L5
CG3434	FBgn0036000	CG3434
CG3436	FBgn0031229	CG3436
CG3437	FBgn0035998	CG3437
CG3443	FBgn0003048	pcx
CG3445	FBgn0035997	phol
CG3446	FBgn0029868	ND-B16.6
CG3451	FBgn0033504	CAP
CG3454	FBgn0005619	Hdc
CG3455	FBgn0028685	Rpt4
CG3456	FBgn0023549	Mct1
CG3458	FBgn0026015	Top3beta
CG3459	FBgn0050011	gem
CG3460	FBgn0023542	Nmd3
CG3461	FBgn0003116	pn
CG3466	FBgn0011576	Cyp4d2
CG3469	FBgn0015000	betaggt-I
CG3473	FBgn0028913	CG3473
CG3476	FBgn0031881	MME1
CG3477	FBgn0004577	Pxd
CG3478	FBgn0020258	ppk
CG3479	FBgn0003016	osp
CG3480	FBgn0023509	mip130
CG3481	FBgn0000055	Adh
CG3483	FBgn0035005	CG3483
CG3484	FBgn0000056	Adhr
CG3485	FBgn0264745	CR44003
CG3487	FBgn0050414	CG30414
CG3487	FBgn0250838	roh
CG3488	FBgn0014906	Hydr2
CG3491	FBgn0028887	CG3491
CG3493	FBgn0034854	Golgin245
CG3494	FBgn0035008	CG3494
CG3495	FBgn0267823	Gmer
CG3497	FBgn0004837	Su(H)
CG3499	FBgn0034792	YME1L
CG3500	FBgn0034849	CG3500
CG3501	FBgn0034791	EMC8-9
CG3502	FBgn0046253	CG3502
CG3504	FBgn0001263	inaD
CG3505	FBgn0038250	CG3505
CG3506	FBgn0283442	vas
CG3508	FBgn0038251	Hexim
CG3510	FBgn0000405	CycB
CG3511	FBgn0035027	CG3511
CG3515	FBgn0031431	CG3515
CG3522	FBgn0035028	Start1
CG3523	FBgn0283427	FASN1
CG3524	FBgn0042627	FASN2
CG3525	FBgn0000536	eas
CG3526	FBgn0040355	CG3526
CG3527	FBgn0029714	CG3527
CG3529	FBgn0035995	CG3529
CG3530	FBgn0028497	Mtmr6
CG3532	FBgn0037979	GCC185
CG3534	FBgn0038463	CG3534
CG3539	FBgn0264978	Slh
CG3540	FBgn0023541	Cyp4d14
CG3541	FBgn0020521	pio
CG3542	FBgn0031492	Prp40
CG3544	FBgn0031279	CG3544
CG3550	FBgn0028371	jbug
CG3552	FBgn0035999	CG3552
CG3560	FBgn0030733	UQCR-14
CG3561	FBgn0086130	Dbp21E2
CG3564	FBgn0029709	CHOp24
CG3567	FBgn0033121	Cyp6u1
CG3571	FBgn0037978	KLHL18
CG3572	FBgn0022960	vimar
CG3573	FBgn0023508	Ocrl
CG3578	FBgn0000179	bi
CG3582	FBgn0017457	U2af38
CG3584	FBgn0022984	qkr58E-3
CG3585	FBgn0023458	Rbcn-3A
CG3590	FBgn0038467	AdSL
CG3593	FBgn0003257	r-l
CG3595	FBgn0003514	sqh
CG3597	FBgn0031417	CG3597
CG3599	FBgn0029848	Btnd
CG3603	FBgn0029648	CG3603
CG3604	FBgn0031562	CG3604
CG3605	FBgn0031493	Sf3b2
CG3606	FBgn0285954	caz
CG3608	FBgn0035039	Adck1
CG3612	FBgn0011211	blw
CG3613	FBgn0022986	qkr58E-1
CG3615	FBgn0034110	Atg9
CG3616	FBgn0015040	Cyp9c1
CG3619	FBgn0000463	Dl
CG3620	FBgn0262738	norpA
CG3622	FBgn0086408	stl
CG3625	FBgn0031245	CG3625
CG3626	FBgn0029706	CG3626
CG3629	FBgn0000157	Dll
CG3630	FBgn0023540	CG3630
CG3631	FBgn0038268	CG3631
CG3632	FBgn0030735	CG3632
CG3633	FBgn0034727	mRpS29
CG3634	FBgn0037026	CG3634
CG3635	FBgn0032981	CG3635
CG3637	FBgn0025865	Cortactin
CG3638	FBgn0261444	CG3638
CG3639	FBgn0031282	Pex12
CG3641	FBgn0067628	CG33331
CG3641	FBgn0067629	CG33332
CG3642	FBgn0015621	Clp
CG3644	FBgn0000181	bic
CG3645	FBgn0031238	CG3645
CG3646	FBgn0001085	fz
CG3647	FBgn0001978	stc
CG3648	FBgn0040069	vanin-like
CG3648	FBgn0052750	CG32750
CG3648	FBgn0052751	CG32751
CG3649	FBgn0034785	CG3649
CG3650	FBgn0035070	CG3650
CG3653	FBgn0028369	kirre
CG3654	FBgn0036004	Jarid2
CG3655	FBgn0040397	CG3655
CG3656	FBgn0005670	Cyp4d1
CG3658	FBgn0026143	Cdc45
CG3660	FBgn0266557	kis
CG3663	FBgn0035044	CG3663
CG3664	FBgn0014010	Rab5
CG3665	FBgn0000635	Fas2
CG3666	FBgn0034094	Tsf3
CG3668	FBgn0004896	fd59A
CG3669	FBgn0039838	CAH6
CG3671	FBgn0011672	Mvl
CG3675	FBgn0031592	Art2
CG3678	FBgn0038461	EMC2B
CG3680	FBgn0037027	HIPP1
CG3682	FBgn0034789	PIP5K59B
CG3686	FBgn0050446	Tdc2
CG3686	FBgn0259977	Tdc1
CG3688	FBgn0286027	Rnmt
CG3689	FBgn0035987	Cpsf5
CG3690	FBgn0040350	CG3690
CG3692	FBgn0260450	CalpC
CG3695	FBgn0034795	MED23
CG3696	FBgn0266557	kis
CG3697	FBgn0002707	mei-9
CG3699	FBgn0040349	CG3699
CG3700	FBgn0034796	CG3700
CG3701	FBgn0266432	CG45062
CG3701	FBgn0266433	CG45063
CG3702	FBgn0031590	CG3702
CG3703	FBgn0040348	CG3703
CG3704	FBgn0040346	CG3704
CG3705	FBgn0023129	aay
CG3706	FBgn0040342	CG3706
CG3707	FBgn0004655	wapl
CG3708	FBgn0040345	CG3708
CG3709	FBgn0031227	CG3709
CG3710	FBgn0010422	TfIIS
CG3711	FBgn0040344	Lztr1
CG3714	FBgn0031589	Naprt
CG3715	FBgn0015296	Shc
CG3719	FBgn0024986	CG3719
CG3722	FBgn0003391	shg
CG3723	FBgn0013812	Dhc93AB
CG3724	FBgn0004654	Pgd
CG3725	FBgn0263006	SERCA
CG3727	FBgn0010583	dock
CG3730	FBgn0015925	csul
CG3731	FBgn0038271	UQCR-C1
CG3732	FBgn0034750	CG3732
CG3733	FBgn0250786	Chd1
CG3734	FBgn0038700	CG3734
CG3735	FBgn0034933	CG3735
CG3736	FBgn0002989	okr
CG3738	FBgn0010314	Cks30A
CG3739	FBgn0038702	CG3739
CG3743	FBgn0040305	MTF-1
CG3744	FBgn0039240	CG3744
CG3747	FBgn0026439	Eaat1
CG3749	FBgn0265182	CG44247
CG3751	FBgn0261596	RpS24
CG3752	FBgn0012036	Aldh
CG3753	FBgn0031655	Marcal1
CG3756	FBgn0031657	Polr1C
CG3758	FBgn0287768	esg
CG3759	FBgn0032116	Mco1
CG3761	FBgn0259171	Pde9
CG3763	FBgn0000640	Fbp2
CG3764	FBgn0036684	CG3764
CG3768	FBgn0051475	myd
CG3769	FBgn0032119	CG3769
CG3770	FBgn0035085	CG3770
CG3772	FBgn0025680	cry
CG3774	FBgn0029849	Efr
CG3775	FBgn0030425	Nep6
CG3779	FBgn0002973	numb
CG3779	FBgn0013718	nuf
CG3780	FBgn0015818	Spx
CG3781	FBgn0029853	CG3781
CG3782	FBgn0031660	mRpL28
CG3783	FBgn0023531	CG32809
CG3788	FBgn0034800	CG3788
CG3790	FBgn0033778	Balat
CG3791	FBgn0023531	CG32809
CG3792	FBgn0031662	CG3792
CG3793	FBgn0028507	CG3793
CG3795	FBgn0025378	CG3795
CG3796	FBgn0000022	ac
CG3797	FBgn0036842	Ugt316A1
CG3798	FBgn0013305	Nmda1
CG3799	FBgn0261547	Exn
CG3800	FBgn0034802	CNBP
CG3803	FBgn0034938	CG3803
CG3806	FBgn0023512	eIF2Bepsilon
CG3808	FBgn0036838	CG3808
CG3809	FBgn0037995	Adk1
CG3810	FBgn0023511	Edem1
CG3811	FBgn0032123	Oatp30B
CG3812	FBgn0030421	Agpat1
CG3815	FBgn0029861	CG3815
CG3817	FBgn0038275	CG3817
CG3821	FBgn0002069	AspRS
CG3822	FBgn0038837	KaiR1D
CG3827	FBgn0004170	sc
CG3829	FBgn0035091	CG3829
CG3835	FBgn0023507	D2hgdh
CG3837	FBgn0038279	Sdr
CG3841	FBgn0032131	CG3841
CG3842	FBgn0029866	CG3842
CG3843	FBgn0038281	RpL10Aa
CG3847	FBgn0029867	CG3847
CG3848	FBgn0023518	trr
CG3849	FBgn0063485	Lasp
CG3850	FBgn0033782	sug
CG3851	FBgn0002985	odd
CG3853	FBgn0015230	Glut3
CG3856	FBgn0024944	Oamb
CG3861	FBgn0261955	kdn
CG3862	FBgn0031286	CG3862
CG3864	FBgn0040070	Trx-2
CG3869	FBgn0029870	Marf
CG3870	FBgn0015372	RabX1
CG3871	FBgn0027364	Six4
CG3872	FBgn0050421	Usp15-31
CG3875	FBgn0034740	nsr
CG3876	FBgn0031284	PGAP2
CG3879	FBgn0004512	Mdr49
CG3881	FBgn0032135	GlcAT-S
CG3882	FBgn0053051	Polr3G
CG3882	FBgn0053052	Gorab
CG3885	FBgn0266669	Sec3
CG3886	FBgn0005624	Psc
CG3887	FBgn0031670	SelT
CG3889	FBgn0027057	CSN1b
CG3891	FBgn0035993	Nf-YA
CG3895	FBgn0004860	ph-d
CG3896	FBgn0085428	Nox
CG3901	FBgn0053519	Unc-89
CG3902	FBgn0036824	CG3902
CG3903	FBgn0001987	Gli
CG3905	FBgn0265623	Su(z)2
CG3911	FBgn0260859	Bet3
CG3915	FBgn0033791	Drl-2
CG3916	FBgn0038003	CG3916
CG3917	FBgn0026430	Grip84
CG3921	FBgn0031571	bark
CG3922	FBgn0005533	RpS17
CG3924	FBgn0013764	Chi
CG3925	FBgn0037780	ohgt
CG3926	FBgn0014031	Agxt
CG3927	FBgn0034739	CG3927
CG3929	FBgn0000524	dx
CG3931	FBgn0034879	Rrp4
CG3935	FBgn0000061	al
CG3936	FBgn0004647	N
CG3937	FBgn0014141	cher
CG3938	FBgn0010382	CycE
CG3939	FBgn0040396	CG3939
CG3940	FBgn0037788	CAH7
CG3941	FBgn0034878	pita
CG3942	FBgn0038008	CG3942
CG3943	FBgn0020545	kraken
CG3945	FBgn0025807	Rad9
CG3947	FBgn0037019	Pex16
CG3948	FBgn0040512	zetaCOP
CG3949	FBgn0286786	hoip
CG3950	FBgn0085446	CG34417
CG3954	FBgn0000382	csw
CG3956	FBgn0003448	sna
CG3957	FBgn0034876	wmd
CG3959	FBgn0011207	pelo
CG3960	FBgn0085446	CG34417
CG3961	FBgn0036821	CG3961
CG3962	FBgn0038475	Keap1
CG3964	FBgn0031574	TTLL4B
CG3966	FBgn0002936	ninaA
CG3967	FBgn0035989	Atat
CG3969	FBgn0263998	Ack-like
CG3971	FBgn0260960	Baldspot
CG3972	FBgn0010019	Cyp4g1
CG3973	FBgn0029881	pigs
CG3979	FBgn0036816	Indy
CG3980	FBgn0031575	Cep97
CG3981	FBgn0040395	Unc-76
CG3983	FBgn0038473	Ns1
CG3985	FBgn0004575	Syn
CG3987	FBgn0038292	CG3987
CG3988	FBgn0028552	gammaSnap1
CG3989	FBgn0020513	Paics
CG3991	FBgn0020370	TppII
CG3992	FBgn0003507	srp
CG3994	FBgn0028516	ZnT35C
CG3996	FBgn0261928	CG42795
CG3998	FBgn0270924	zf30C
CG3999	FBgn0037801	CG3999
CG4001	FBgn0003071	Pfk
CG4003	FBgn0040078	pont
CG4006	FBgn0010379	Akt
CG4007	FBgn0020391	Nrk
CG4008	FBgn0283478	und
CG4009	FBgn0038469	CG4009
CG4012	FBgn0023081	gek
CG4013	FBgn0265523	Smr
CG4016	FBgn0086532	Spt-I
CG4017	FBgn0032143	CG4017
CG4019	FBgn0034885	Eglp4
CG4020	FBgn0029821	CG4020
CG4021	FBgn0034659	CG4021
CG4023	FBgn0053137	CG33137
CG4023	FBgn0053138	AGBE
CG4025	FBgn0025624	CG4025
CG4027	FBgn0000042	Act5C
CG4030	FBgn0034585	Rbpn-5
CG4032	FBgn0000017	Abl
CG4033	FBgn0003278	Polr1B
CG4035	FBgn0015218	eIF4E1
CG4036	FBgn0032149	CG4036
CG4038	FBgn0011824	CG4038
CG4039	FBgn0025815	Mcm6
CG4040	FBgn0259734	Nost
CG4041	FBgn0029736	CG4041
CG4042	FBgn0037018	CG4042
CG4043	FBgn0037815	Rrp46
CG4045	FBgn0025629	CG4045
CG4045	FBgn0085397	Fili
CG4049	FBgn0034976	CG4049
CG4050	FBgn0020312	Tmtc3
CG4051	FBgn0000562	egl
CG4053	FBgn0038482	CG4053
CG4054	FBgn0085397	Fili
CG4058	FBgn0038818	Nep4
CG4059	FBgn0001078	ftz-f1
CG4061	FBgn0025630	Rtca
CG4063	FBgn0263933	ebi
CG4064	FBgn0261610	CG42699
CG4065	FBgn0034982	Naa35
CG4067	FBgn0020385	pug
CG4068	FBgn0266000	CG44774
CG4069	FBgn0036301	CG4069
CG4070	FBgn0011837	Tis11
CG4071	FBgn0034744	Vps20
CG4074	FBgn0037017	CG4074
CG4078	FBgn0029798	CG4078
CG4079	FBgn0011291	Taf11
CG4080	FBgn0035983	CG4080
CG4082	FBgn0017577	Mcm5
CG4083	FBgn0017572	Mo25
CG4084	FBgn0011297	Alg3
CG4086	FBgn0004465	Su(P)
CG4087	FBgn0002593	RpLP1
CG4088	FBgn0005654	Orc3
CG4089	FBgn0037838	TTLL15
CG4094	FBgn0286222	Fum1
CG4095	FBgn0029890	Fum2
CG4096	FBgn0029791	AdamTS-B
CG4097	FBgn0002284	Prosbeta6
CG4098	FBgn0036648	CG4098
CG4099	FBgn0014033	Sr-CI
CG4103	FBgn0283659	THG
CG4104	FBgn0027560	Tps1
CG4105	FBgn0015035	Cyp4e3
CG4107	FBgn0020388	Gcn5
CG4108	FBgn0036805	Chmp1
CG4110	FBgn0065108	ppk16
CG4110	FBgn0065109	ppk11
CG4111	FBgn0029785	RpL35
CG4114	FBgn0004583	ex
CG4117	FBgn0034590	Magi
CG4118	FBgn0036640	nxf2
CG4119	FBgn0028474	CG4119
CG4120	FBgn0036806	Cyp12c1
CG4122	FBgn0004648	svr
CG4123	FBgn0026061	Mipp1
CG4124	FBgn0053526	PNUTS
CG4125	FBgn0003285	rst
CG4129	FBgn0026702	Pop1
CG4136	FBgn0263511	Vsx1
CG4137	FBgn0016919	nompB
CG4140	FBgn0261881	Ankrd49
CG4141	FBgn0015279	Pi3K92E
CG4143	FBgn0262732	mbf1
CG4145	FBgn0000299	Col4a1
CG4147	FBgn0001218	Hsc70-3
CG4148	FBgn0001990	wek
CG4152	FBgn0001986	Mtr4
CG4153	FBgn0004926	eIF2beta
CG4154	FBgn0038295	Gyc88E
CG4155	FBgn0038499	Brf
CG4157	FBgn0028693	Rpn12
CG4158	FBgn0001983	wor
CG4159	FBgn0038811	Pus1
CG4161	FBgn0028892	CG4161
CG4162	FBgn0002524	lace
CG4163	FBgn0001992	Cyp303a1
CG4164	FBgn0031256	shv
CG4164	FBgn0262510	CR43080
CG4165	FBgn0029763	Usp16-45
CG4166	FBgn0013717	not
CG4167	FBgn0001227	Hsp67Ba
CG4168	FBgn0028888	CG4168
CG4169	FBgn0250814	UQCR-C2
CG4170	FBgn0024183	vig
CG4173	FBgn0014029	Septin2
CG4174	FBgn0036793	CG4174
CG4179	FBgn0029761	SK
CG4180	FBgn0001977	CIAPIN1
CG4181	FBgn0010038	GstD2
CG4183	FBgn0001225	Hsp26
CG4184	FBgn0027592	MED15
CG4185	FBgn0028926	NC2beta
CG4190	FBgn0001229	Hsp67Bc
CG4192	FBgn0028370	kek3
CG4193	FBgn0011761	dhd
CG4196	FBgn0260659	CG42542
CG4199	FBgn0025628	CG4199
CG4200	FBgn0003416	sl
CG4202	FBgn0029755	Sas10
CG4203	FBgn0038300	Mau2
CG4204	FBgn0023212	EloB
CG4205	FBgn0011769	Fdx1
CG4206	FBgn0284442	Mcm3
CG4208	FBgn0026751	XRCC1
CG4209	FBgn0010014	CanB
CG4210	FBgn0038302	CG4210
CG4212	FBgn0015791	Rab14
CG4214	FBgn0011708	Syx5
CG4215	FBgn0015546	spel1
CG4217	FBgn0038805	TFAM
CG4221	FBgn0038385	Fbxl7
CG4224	FBgn0051183	CG31183
CG4225	FBgn0038376	Hmt-1
CG4226	FBgn0046113	GluRIIC
CG4233	FBgn0001125	Got2
CG4236	FBgn0263979	Caf1-55
CG4237	FBgn0020655	ArfGAP1
CG4238	FBgn0031384	CG4238
CG4239	FBgn0030745	CG4239
CG4241	FBgn0067783	DPCoAC
CG4244	FBgn0003557	Su(dx)
CG4252	FBgn0004367	mei-41
CG4254	FBgn0011726	tsr
CG4257	FBgn0016917	Stat92E
CG4258	FBgn0020305	dbe
CG4259	FBgn0031389	CG4259
CG4260	FBgn0264855	AP-2alpha
CG4261	FBgn0022787	Hel89B
CG4262	FBgn0260400	elav
CG4263	FBgn0031390	tho2
CG4264	FBgn0266599	Hsc70-4
CG4265	FBgn0010288	Uch
CG4266	FBgn0034598	CG4266
CG4267	FBgn0264979	CG4267
CG4268	FBgn0016696	Pitslre
CG4271	FBgn0031409	CG4271
CG4272	FBgn0261647	Axud1
CG4274	FBgn0001086	fzy
CG4276	FBgn0029095	aru
CG4278	FBgn0014092	CG4278
CG4280	FBgn0015924	crq
CG4282	FBgn0034114	CG4282
CG4288	FBgn0038799	MFS9
CG4289	FBgn0037020	Pex14
CG4290	FBgn0025625	Sik2
CG4291	FBgn0031287	CG4291
CG4293	FBgn0024983	CG4293
CG4299	FBgn0014879	Set
CG4300	FBgn0036272	Sms
CG4301	FBgn0030747	CG4301
CG4303	FBgn0025463	Bap60
CG4306	FBgn0036787	CG4306
CG4307	FBgn0016691	ATPsynO
CG4313	FBgn0025632	CG4313
CG4314	FBgn0003515	st
CG4316	FBgn0003319	Sb
CG4317	FBgn0026060	Mipp2
CG4318	FBgn0030455	CG4318
CG4320	FBgn0029840	raptor
CG4321	FBgn0015033	Cyp4d8
CG4322	FBgn0025631	moody
CG4323	FBgn0038797	Dic2
CG4324	FBgn0034956	CG4324
CG4326	FBgn0034986	mRpS17
CG4328	FBgn0036274	CG4328
CG4329	FBgn0034745	CG4329
CG4330	FBgn0030452	MFS10
CG4331	FBgn0052645	CG32645
CG4332	FBgn0030456	CG4332
